,title,press,link
0,"군 ""북한, 고체 연료 장거리미사일 개발 위한 중간시험""",연합뉴스TV,"군 ""북한, 고체 연료 장거리미사일 개발 위한 중간시험"""
1," 고체연료ICBM 개발 속도내는 북한...""점점 고도 높여갈 것""[더뉴스]",YTN," 고체연료ICBM 개발 속도내는 북한...""점점 고도 높여갈 것""[더뉴스]"
2,"북한, 신형 ICBM '일타삼피'…고체연료·이동발사·송수신 기술까지",데일리안,"북한, 신형 ICBM '일타삼피'…고체연료·이동발사·송수신 기술까지"
3,"軍 ""北 '화성-18형' 개발 중간단계 시험 발사 평가"" 킬체인 무력화' 우려 '일축'",파이낸셜뉴스,"軍 ""北 '화성-18형' 개발 중간단계 시험 발사 평가"" 킬체인 무력화' 우려 '일축'"
4,"조응천 “송영길, 자발적으로 귀국해 조사받는 게 나을 듯”",파이낸셜뉴스,"조응천 “송영길, 자발적으로 귀국해 조사받는 게 나을 듯”"
5,"조응천 ""야당 의원 10명 '돈봉투' 연루…황망할 따름""",시사저널,"조응천 ""야당 의원 10명 '돈봉투' 연루…황망할 따름"""
6,"조응천, 돈 봉투 의혹에 ""선제 조사 필요...송영길, 제 발로 와야""",YTN,"조응천, 돈 봉투 의혹에 ""선제 조사 필요...송영길, 제 발로 와야"""
7,민주당에서도 송영길 귀국 요구 나와…전대 돈봉투 의혹에 ‘직접 해명’ 요구,부산일보,민주당에서도 송영길 귀국 요구 나와…전대 돈봉투 의혹에 ‘직접 해명’ 요구
8,"""김기현 단독으로 잘랐을 리 없죠""‥""그러면 용산 뜻입니까?""",MBC,"""김기현 단독으로 잘랐을 리 없죠""‥""그러면 용산 뜻입니까?"""
9,"홍준표 해촉, 대통령실 격분 탓? 하태경 ""횟집서 분위기 좋았다""",중앙일보,"홍준표 해촉, 대통령실 격분 탓? 하태경 ""횟집서 분위기 좋았다"""
10,"이준석 ""洪 해촉, 김기현 뜻 아닐 것""…하태경 ""용산과 관계없어""",한국경제,"이준석 ""洪 해촉, 김기현 뜻 아닐 것""…하태경 ""용산과 관계없어"""
11,"하태경 ""홍준표 해촉 '초보 대통령' 발언 탓 아냐…횟집서 尹과 분위기 좋았다""",뉴스1,"하태경 ""홍준표 해촉 '초보 대통령' 발언 탓 아냐…횟집서 尹과 분위기 좋았다"""
12,"김건희 여사, 순직 경찰 가정 방문해 유가족 위로",MBN,"김건희 여사, 순직 경찰 가정 방문해 유가족 위로"
13,연일 광폭 행보 보이는 김건희 여사…대전서 전통시장 방문 및 봉사활동,매일경제,연일 광폭 행보 보이는 김건희 여사…대전서 전통시장 방문 및 봉사활동
14,"김건희 여사, 순직경찰 가족 위로…“제복 영웅 예우는 국가책무”",문화일보,"김건희 여사, 순직경찰 가족 위로…“제복 영웅 예우는 국가책무”"
15,순직 군경 자녀들의 진로 길잡이,매일경제,순직 군경 자녀들의 진로 길잡이
16,김진표 “빠르면 5월 선거제 개편 마무리…위성정당 없앨 것”,파이낸셜뉴스,김진표 “빠르면 5월 선거제 개편 마무리…위성정당 없앨 것”
17,"김진표 ""선거제 개편, 이르면 5월 중 마무리""",MBC,"김진표 ""선거제 개편, 이르면 5월 중 마무리"""
18,"홍준표, 김기현에 ""극우목사 끼고 돌면서 날 배제한 화풀이""(종합)",뉴시스,"홍준표, 김기현에 ""극우목사 끼고 돌면서 날 배제한 화풀이""(종합)"
19,"홍준표 ""김기현, 지도력 찾는다면 날 밟아도 좋다…근데 제 버릇 버릴까?""",뉴스1,"홍준표 ""김기현, 지도력 찾는다면 날 밟아도 좋다…근데 제 버릇 버릴까?"""
20,"통일부, ‘2023 통일백서’ 발간…‘북한 비핵화’ 공식화",KBS,"통일부, ‘2023 통일백서’ 발간…‘북한 비핵화’ 공식화"
21,"""비핵화 주체는 北…남북관계 경색 책임"" 尹정부 첫 통일백서",아시아경제,"""비핵화 주체는 北…남북관계 경색 책임"" 尹정부 첫 통일백서"
22,홍준표 쳐낸 김기현 '읍참마속'…당내 분란 잠재울까?,머니투데이,홍준표 쳐낸 김기현 '읍참마속'…당내 분란 잠재울까?
23,"與, 홍준표 대구시장 '당 상임고문' 해촉…洪 ""엉뚱한데 화풀이""",국제신문,"與, 홍준표 대구시장 '당 상임고문' 해촉…洪 ""엉뚱한데 화풀이"""
24,"'극한 대치' 간호법, 결국 다음 본회의로…여야 극적 합의 이룰까",머니투데이,"'극한 대치' 간호법, 결국 다음 본회의로…여야 극적 합의 이룰까"
25,"의사협회, 간호법·의료법 본회의 상정 앞두고 의정협의 불참",YTN,"의사협회, 간호법·의료법 본회의 상정 앞두고 의정협의 불참"
26,"정순신 청문회서 野 ""권력형 학폭세탁""…불참한 與 ""망신주기""",연합뉴스,"정순신 청문회서 野 ""권력형 학폭세탁""…불참한 與 ""망신주기"""
27,"정순신 청문회서 野 ""권력형 학폭 세탁""…불참한 與 ""망신주기""",TV조선,"정순신 청문회서 野 ""권력형 학폭 세탁""…불참한 與 ""망신주기"""
28,"尹 지지율 5개월만에 20%대로…""美 도감청 대응 영향""",TV조선,"尹 지지율 5개월만에 20%대로…""美 도감청 대응 영향"""
29,"尹 지지율 27%, 25주 만에 최저치…TK서도 부정평가 53%(종합)",뉴스1,"尹 지지율 27%, 25주 만에 최저치…TK서도 부정평가 53%(종합)"
30,"윤 ""디지털플랫폼정부, 전자정부와 차원 달라…전후방 산업 효과""",SBS,"윤 ""디지털플랫폼정부, 전자정부와 차원 달라…전후방 산업 효과"""
31,"尹 ""디지털플랫폼정부 선제적 투자… 수출 효자산업 될 것""",아시아경제,"尹 ""디지털플랫폼정부 선제적 투자… 수출 효자산업 될 것"""
32,"""尹 착용한 넥타이 이쁘죠?""…김건희 여사, 대전 시장 찾아 경매품 쾌척",뉴스1,"""尹 착용한 넥타이 이쁘죠?""…김건희 여사, 대전 시장 찾아 경매품 쾌척"
33,"'떡 시식' 김건희 여사, 초록색 스카프로 패션 센스 과시",한국경제,"'떡 시식' 김건희 여사, 초록색 스카프로 패션 센스 과시"
34,이재명 “비굴한 저자세론 주권 못 지켜…美 정부 사과 받아야”,KBS,이재명 “비굴한 저자세론 주권 못 지켜…美 정부 사과 받아야”
35,이재명 “美에 도청 의혹 공동조사 요구하고 공식 사과받아야”,세계일보,이재명 “美에 도청 의혹 공동조사 요구하고 공식 사과받아야”
36,"전광훈과 결별한 이유?…황교안 ""정치적 오염·타락했다""",뉴시스,"전광훈과 결별한 이유?…황교안 ""정치적 오염·타락했다"""
37,"황교안, 전광훈과 결별한 이유 ""목사가 정치적 오염, 타락했다""",중앙일보,"황교안, 전광훈과 결별한 이유 ""목사가 정치적 오염, 타락했다"""
38,"홍준표 ""정치력 대통령에 질려 법대로 하는 대통령 뽑은 것""",노컷뉴스,"홍준표 ""정치력 대통령에 질려 법대로 하는 대통령 뽑은 것"""
39,"홍준표 ""고문 해촉한다고 지도력 회복되나…당원 누구나 당정 말할 수 있어""",뉴스1,"홍준표 ""고문 해촉한다고 지도력 회복되나…당원 누구나 당정 말할 수 있어"""
40," 여야, 양곡법 재투표·간호법 대치…비쟁점 법안은 합의",연합뉴스TV," 여야, 양곡법 재투표·간호법 대치…비쟁점 법안은 합의"
41," 미국 '도감청 의혹' 공방…여야, 외통위 격돌 예고",연합뉴스TV," 미국 '도감청 의혹' 공방…여야, 외통위 격돌 예고"
42," 미국, 도·감청 파장 확산…국회, 선거제 전원위 개최",연합뉴스TV," 미국, 도·감청 파장 확산…국회, 선거제 전원위 개최"
43," 국민의힘, 새 원내대표 윤재옥…민주당 호남으로 민생행보",연합뉴스TV," 국민의힘, 새 원내대표 윤재옥…민주당 호남으로 민생행보"
